Techstack,Links
"Agile, Jenkins, Continuous Integration (CI), JSON Web Token (JWT), Code Refactoring, DevOps, Software Development Life Cycle (SDLC), Spring Boot",Accenture Coding: Development & Advanced Engineering Job Simulation https://forage-uploads-prod.s3.amazonaws.com/completion-certificates/T6kdcdKSTfg2aotxT/XvvYRvb2YpfkyA52H_T6kdcdKSTfg2aotxT_CXwtGufku6dhL7atu_1732432831177_completion_certificate.pdf
"Machine Learning, ML, AI, Data Cleaning, Data Preprocessing, Data Modeling, ",Coursera IBM Exploratory Data Analysis for Machine Learning https://www.coursera.org/account/accomplishments/records/627LU1OXN31D 
"Machine Learning, Supervised Learning, Linear Regression, Logistic Regression, Regression Models, ML, AI",Coursera IBM Supervised Machine Learning: Regression https://www.coursera.org/account/accomplishments/records/EO3WBTD1JCJW 
"Data Structures, Java, Algorithms, Search Algorithms, Optimization Algorithms, Sorting Algorithms",Udemy Java Data Structures & Algorithms + LEETCODE Exercises https://www.udemy.com/certificate/UC-92e02df2-e456-46ca-8146-c957b9137155/ 
"Chatbot, Gemini, Gen AI",Udemy  Master Course in Chatbot Technology and Google Bard AI https://www.udemy.com/certificate/UC-dc078ddf-d072-4c0b-b37d-b04dc0982462/ 
Java,Java (Basic) https://www.hackerrank.com/certificates/1f9b59a2195e 
"C++, Object-Oriented Programming (OOP)",OOPs Concepts in C++ https://verify.mygreatlearning.com/FZOGAUTP 
AWS,AWS S3 Basics https://www.coursera.org/account/accomplishments/certificate/KCQFANQQ354S
SQL Intermediate,SQL (Intermediate) https://www.hackerrank.com/certificates/e8a8d9520f8c
SQL Basic,SQL Basic  https://www.hackerrank.com/certificates/569eac076500 
"Oracle, Database",Oracle Database Foundations https://www.coursera.org/account/accomplishments/certificate/FZGANW3TKQ37 
Artificial Intelligence,Introduction to Artificial Intelligence (AI) https://www.coursera.org/account/accomplishments/certificate/SAAZAE232E2P 
"Computer Networks, Networking",Computer Networking Course https://moonshot.scaler.com/s/li/y-q5OUEsiA 
Operating System,Operating System Course https://moonshot.scaler.com/s/li/FWtn_eHBvc 
"Python, Machine Learning, ML",Python for Machine Learning https://www.mygreatlearning.com/certificate/RRCZUIVA 
"Database, SQL, MySQL",Database Management System https://www.mygreatlearning.com/certificate/SSONNLHF 
